date,location,lat,lon,temp_max,temp_min,precipitation
2026-03-14,Cilegon,-6.012584543568546,106.01533967633631,29.2,27.5,1.0
2026-03-15,Cilegon,-6.012584543568546,106.01533967633631,29.5,27.0,0.7
2026-03-16,Cilegon,-6.012584543568546,106.01533967633631,29.2,28.0,0.0
2026-03-17,Cilegon,-6.012584543568546,106.01533967633631,29.1,27.9,0.0
2026-03-18,Cilegon,-6.012584543568546,106.01533967633631,29.6,27.8,0.0
2026-03-19,Cilegon,-6.012584543568546,106.01533967633631,29.7,27.7,0.0
2026-03-20,Cilegon,-6.012584543568546,106.01533967633631,29.7,27.9,0.0
2026-03-14,Kota Tangerang,-6.187829048430916,106.65158666757361,33.0,22.7,0.1
2026-03-15,Kota Tangerang,-6.187829048430916,106.65158666757361,31.3,24.1,0.1
2026-03-16,Kota Tangerang,-6.187829048430916,106.65158666757361,31.2,22.8,0.3
2026-03-17,Kota Tangerang,-6.187829048430916,106.65158666757361,32.6,21.6,0.0
2026-03-18,Kota Tangerang,-6.187829048430916,106.65158666757361,33.0,22.9,0.0
2026-03-19,Kota Tangerang,-6.187829048430916,106.65158666757361,33.1,24.0,1.2
2026-03-20,Kota Tangerang,-6.187829048430916,106.65158666757361,32.4,23.9,0.0
2026-03-14,Lebak,-6.647417513761953,106.21224081594877,31.0,22.7,1.2
2026-03-15,Lebak,-6.647417513761953,106.21224081594877,31.4,23.2,0.0
2026-03-16,Lebak,-6.647417513761953,106.21224081594877,31.0,22.7,0.0
2026-03-17,Lebak,-6.647417513761953,106.21224081594877,32.1,19.8,0.0
2026-03-18,Lebak,-6.647417513761953,106.21224081594877,31.9,21.1,0.0
2026-03-19,Lebak,-6.647417513761953,106.21224081594877,32.3,21.0,1.8
2026-03-20,Lebak,-6.647417513761953,106.21224081594877,30.3,22.5,1.5
2026-03-14,Pandeglang,-6.590912612196811,105.74367218738105,30.3,23.6,0.0
2026-03-15,Pandeglang,-6.590912612196811,105.74367218738105,30.1,24.2,0.3
2026-03-16,Pandeglang,-6.590912612196811,105.74367218738105,29.3,22.0,0.0
2026-03-17,Pandeglang,-6.590912612196811,105.74367218738105,30.4,20.7,0.0
2026-03-18,Pandeglang,-6.590912612196811,105.74367218738105,31.0,21.8,0.0
2026-03-19,Pandeglang,-6.590912612196811,105.74367218738105,31.1,22.1,0.0
2026-03-20,Pandeglang,-6.590912612196811,105.74367218738105,30.0,23.5,0.3
2026-03-14,Serang,-6.142815968837025,106.15591734951349,31.2,22.6,0.0
2026-03-15,Serang,-6.142815968837025,106.15591734951349,31.1,23.0,0.0
2026-03-16,Serang,-6.142815968837025,106.15591734951349,31.1,22.4,0.0
2026-03-17,Serang,-6.142815968837025,106.15591734951349,31.8,21.0,0.0
2026-03-18,Serang,-6.142815968837025,106.15591734951349,32.9,22.1,0.0
2026-03-19,Serang,-6.142815968837025,106.15591734951349,32.9,21.3,0.3
2026-03-20,Serang,-6.142815968837025,106.15591734951349,31.7,22.1,0.0
2026-03-14,Tangerang,-6.192285705587691,106.54621774422829,33.7,23.7,0.0
2026-03-15,Tangerang,-6.192285705587691,106.54621774422829,32.0,23.8,0.0
2026-03-16,Tangerang,-6.192285705587691,106.54621774422829,31.8,23.3,0.1
2026-03-17,Tangerang,-6.192285705587691,106.54621774422829,32.8,21.6,0.0
2026-03-18,Tangerang,-6.192285705587691,106.54621774422829,33.0,22.3,0.0
2026-03-19,Tangerang,-6.192285705587691,106.54621774422829,33.7,22.5,0.0
2026-03-20,Tangerang,-6.192285705587691,106.54621774422829,32.8,23.6,0.3
2026-03-14,Jakarta Barat,-6.163413784057088,106.74722452829901,32.9,24.0,0.0
2026-03-15,Jakarta Barat,-6.163413784057088,106.74722452829901,31.2,25.1,0.0
2026-03-16,Jakarta Barat,-6.163413784057088,106.74722452829901,31.0,24.1,1.2
2026-03-17,Jakarta Barat,-6.163413784057088,106.74722452829901,32.2,23.3,0.0
2026-03-18,Jakarta Barat,-6.163413784057088,106.74722452829901,33.5,24.4,0.7
2026-03-19,Jakarta Barat,-6.163413784057088,106.74722452829901,33.1,24.9,5.3
2026-03-20,Jakarta Barat,-6.163413784057088,106.74722452829901,32.0,25.1,1.8
2026-03-14,Jakarta Pusat,-6.182831856523437,106.83375865600885,32.8,24.7,0.0
2026-03-15,Jakarta Pusat,-6.182831856523437,106.83375865600885,30.8,26.0,0.0
2026-03-16,Jakarta Pusat,-6.182831856523437,106.83375865600885,30.4,25.0,1.9
2026-03-17,Jakarta Pusat,-6.182831856523437,106.83375865600885,32.1,24.5,0.0
2026-03-18,Jakarta Pusat,-6.182831856523437,106.83375865600885,31.6,25.8,1.0
2026-03-19,Jakarta Pusat,-6.182831856523437,106.83375865600885,32.1,25.6,8.3
2026-03-20,Jakarta Pusat,-6.182831856523437,106.83375865600885,31.6,25.6,10.0
2026-03-14,Jakarta Selatan,-6.270537428085333,106.80918118887458,33.7,23.4,0.5
2026-03-15,Jakarta Selatan,-6.270537428085333,106.80918118887458,31.9,24.4,0.9
2026-03-16,Jakarta Selatan,-6.270537428085333,106.80918118887458,31.5,23.9,0.5
2026-03-17,Jakarta Selatan,-6.270537428085333,106.80918118887458,33.3,22.9,0.0
2026-03-18,Jakarta Selatan,-6.270537428085333,106.80918118887458,33.0,25.2,0.4
2026-03-19,Jakarta Selatan,-6.270537428085333,106.80918118887458,33.5,25.0,15.9
2026-03-20,Jakarta Selatan,-6.270537428085333,106.80918118887458,32.7,25.0,3.8
2026-03-14,Jakarta Timur,-6.253434111015687,106.90308344689608,33.7,23.5,0.5
2026-03-15,Jakarta Timur,-6.253434111015687,106.90308344689608,31.9,24.5,0.9
2026-03-16,Jakarta Timur,-6.253434111015687,106.90308344689608,31.5,24.0,0.5
2026-03-17,Jakarta Timur,-6.253434111015687,106.90308344689608,33.4,22.9,0.0
2026-03-18,Jakarta Timur,-6.253434111015687,106.90308344689608,33.1,25.2,0.4
2026-03-19,Jakarta Timur,-6.253434111015687,106.90308344689608,33.5,25.0,15.9
2026-03-20,Jakarta Timur,-6.253434111015687,106.90308344689608,32.8,25.1,3.8
2026-03-14,Jakarta Utara,-6.128648367776813,106.86675019476915,32.8,24.7,0.0
2026-03-15,Jakarta Utara,-6.128648367776813,106.86675019476915,30.8,26.0,0.0
2026-03-16,Jakarta Utara,-6.128648367776813,106.86675019476915,30.4,25.0,1.9
2026-03-17,Jakarta Utara,-6.128648367776813,106.86675019476915,32.1,24.5,0.0
2026-03-18,Jakarta Utara,-6.128648367776813,106.86675019476915,31.6,25.8,1.0
2026-03-19,Jakarta Utara,-6.128648367776813,106.86675019476915,32.1,25.6,8.3
2026-03-20,Jakarta Utara,-6.128648367776813,106.86675019476915,31.6,25.6,10.0
2026-03-14,Bandung,-7.010348420352137,107.52577028259451,28.7,18.0,2.6
2026-03-15,Bandung,-7.010348420352137,107.52577028259451,27.9,18.9,2.2
2026-03-16,Bandung,-7.010348420352137,107.52577028259451,28.1,19.0,0.0
2026-03-17,Bandung,-7.010348420352137,107.52577028259451,29.2,18.2,0.0
2026-03-18,Bandung,-7.010348420352137,107.52577028259451,28.4,18.7,2.1
2026-03-19,Bandung,-7.010348420352137,107.52577028259451,27.2,19.9,17.1
2026-03-20,Bandung,-7.010348420352137,107.52577028259451,27.2,20.2,25.2
2026-03-14,Banjar,-7.374011247289794,108.55089932861137,31.1,22.0,9.5
2026-03-15,Banjar,-7.374011247289794,108.55089932861137,29.8,22.5,17.6
2026-03-16,Banjar,-7.374011247289794,108.55089932861137,29.3,22.7,16.6
2026-03-17,Banjar,-7.374011247289794,108.55089932861137,30.9,22.7,0.0
2026-03-18,Banjar,-7.374011247289794,108.55089932861137,30.9,21.9,0.0
2026-03-19,Banjar,-7.374011247289794,108.55089932861137,30.5,22.2,3.9
2026-03-20,Banjar,-7.374011247289794,108.55089932861137,29.5,22.6,4.2
2026-03-14,Bekasi,-6.210500367027962,107.12285528079993,34.4,25.2,2.1
2026-03-15,Bekasi,-6.210500367027962,107.12285528079993,31.8,25.5,0.5
2026-03-16,Bekasi,-6.210500367027962,107.12285528079993,32.6,25.1,2.0
2026-03-17,Bekasi,-6.210500367027962,107.12285528079993,34.0,24.6,0.6
2026-03-18,Bekasi,-6.210500367027962,107.12285528079993,33.2,26.0,0.6
2026-03-19,Bekasi,-6.210500367027962,107.12285528079993,33.6,25.5,11.8
2026-03-20,Bekasi,-6.210500367027962,107.12285528079993,32.7,25.6,13.8
2026-03-14,Bogor,-6.559398290650793,106.77049049741969,31.3,19.9,0.0
2026-03-15,Bogor,-6.559398290650793,106.77049049741969,30.9,21.4,0.4
2026-03-16,Bogor,-6.559398290650793,106.77049049741969,31.1,20.2,1.3
2026-03-17,Bogor,-6.559398290650793,106.77049049741969,31.7,19.7,0.0
2026-03-18,Bogor,-6.559398290650793,106.77049049741969,31.8,21.7,0.0
2026-03-19,Bogor,-6.559398290650793,106.77049049741969,31.9,22.5,9.0
2026-03-20,Bogor,-6.559398290650793,106.77049049741969,29.9,22.3,2.1
2026-03-14,Ciamis,-7.4342305574984495,108.46696630693069,30.6,21.4,9.5
2026-03-15,Ciamis,-7.4342305574984495,108.46696630693069,29.3,21.9,17.6
2026-03-16,Ciamis,-7.4342305574984495,108.46696630693069,28.7,22.1,16.6
2026-03-17,Ciamis,-7.4342305574984495,108.46696630693069,30.4,22.1,0.0
2026-03-18,Ciamis,-7.4342305574984495,108.46696630693069,30.4,21.4,0.0
2026-03-19,Ciamis,-7.4342305574984495,108.46696630693069,30.0,21.6,3.9
2026-03-20,Ciamis,-7.4342305574984495,108.46696630693069,28.9,22.0,4.2
2026-03-14,Cianjur,-7.129177854120621,107.15528435604325,28.4,19.9,0.0
2026-03-15,Cianjur,-7.129177854120621,107.15528435604325,29.2,19.9,3.8
2026-03-16,Cianjur,-7.129177854120621,107.15528435604325,28.9,20.2,0.0
2026-03-17,Cianjur,-7.129177854120621,107.15528435604325,30.4,19.3,0.0
2026-03-18,Cianjur,-7.129177854120621,107.15528435604325,29.7,19.8,0.0
2026-03-19,Cianjur,-7.129177854120621,107.15528435604325,30.1,20.3,4.5
2026-03-20,Cianjur,-7.129177854120621,107.15528435604325,28.1,20.8,6.9
2026-03-14,Cimahi,-6.886387766117476,107.5501749693189,29.3,18.6,0.9
2026-03-15,Cimahi,-6.886387766117476,107.5501749693189,28.8,20.8,0.4
